last_name,first_name,middle_init,agency
Daum,Nicholas,None,Los Angeles County Superior Court
Davalos,Maria,A,Los Angeles County Superior Court
Davis,Carlton,G.,Sacramento County Superior Court
Davis,Cindy,D,San Diego County Superior Court
Davis,John,M,Riverside County Superior Court
Davis,Laura,Jane,Sutter County Superior Court
Davis,Mark,None,Los Angeles County Superior Court
Davis,Terrye,D,Solano County Superior Court
Davis,Troy,G.,Los Angeles County Superior Court
Davis III,Leland,None,San Mateo County Superior Court
Day,Renee,C,Amador County Superior Court
De La Cruz,Andre,None,Orange County Superior Court
De La Pena,Nancy,A,Santa Cruz County Superior Court
De Witt,Susan,J,Los Angeles County Superior Court
DeCasas,Michelle,Erika,Los Angeles County Superior Court
Deddeh,Peter,C,San Diego County Superior Court
Deems,Michael,R,Butte County Superior Court
Deen,Shella,None,Santa Clara County Superior Court
DeJesus,Raymonn,J.,Placer County Superior Court
Delaney,Thomas,A,"Court of Appeal, Fourth District"
Delgado,Jessica,M,Santa Clara County Superior Court
Delgado,Rogelio,G,Los Angeles County Superior Court
Delucchi,Paul,A,Alameda County Superior Court
DeMeo,Bradford,J,Sonoma County Superior Court
DeNoce,Kevin,G,Ventura County Superior Court
Deroian,Von,Thuy,Santa Barbara County Superior Court
DeSantos,Thomas,None,"Court of Appeal, Fifth District"
Desautels,Tara,M,Alameda County Superior Court
Detienne,Daniel,W,San Bernardino County Superior Court
Detjen,Jennifer,R.S.,"Court of Appeal, Fifth District"
Devaney,Francis,M,San Diego County Superior Court
Devine,John,None,Contra Costa County Superior Court
Dhillon,Joginder,None,Sacramento County Superior Court
Diaz,Monica,R.,Fresno County Superior Court
Diaz,Rudolph,A,Los Angeles County Superior Court
Diaz Jr.,Samuel,None,Riverside County Superior Court
Dickerson III,Frederick,P,Riverside County Superior Court
Dickinson,Barbara,None,Alameda County Superior Court
Dier,Wendy,J,Modoc County Superior Court
Dillon,Timothy,P,Los Angeles County Superior Court
Distaso,Joseph,R,Stanislaus County Superior Court
Dixon,Karen,L,Siskiyou County Superior Court
Djemal,Sharon,None,Alameda County Superior Court
Do,Truc,T.,"Court of Appeal, Fourth District"
Dohi,Gregory,A,Los Angeles County Superior Court
Dolan,Carly,Brooke,Mendocino County Superior Court
Dolas,Mary,None,Fresno County Superior Court
Dollard,Jennifer,V,Sonoma County Superior Court
Dolnick,Jeremy,D,Orange County Superior Court
Domenzain,Michael,None,Imperial County Superior Court
Dominguez,Ernesto,Carlos,Los Angeles County Superior Court
Dominguez,Juan Carlos,None,Los Angeles County Superior Court
Donahue,Patrick,H,Orange County Superior Court
Donovan,Christine,None,Solano County Superior Court
Dordi,Firdaus,F,Los Angeles County Superior Court
Dorfman,Harry,M,San Francisco County Superior Court
Douglas,Danielle,K,Contra Costa County Superior Court
Dourbetas,Nick,A,Orange County Superior Court
Downing,Marguerite,D,Los Angeles County Superior Court
Draper,Robert,S,Los Angeles County Superior Court
Driscoll,David,None,San Bernardino County Superior Court
Duarte,Elena,J,"Court of Appeal, Third District"
Duff,Christopher,None,Orange County Superior Court
Duffy,Jacquelyn,H,San Luis Obispo County Superior Court
Duffy,Laura,E.,San Diego County Superior Court
Duffy-Lewis,Maureen,None,Los Angeles County Superior Court
Dulcich,Judith,K,Kern County Superior Court
Dunleavy,Kevin,None,San Mateo County Superior Court
Dunn,James,R,Los Angeles County Superior Court
Duong,Le,J,Santa Clara County Superior Court
Durant,Yvette,None,Nevada County Superior Court
Dybwad,Christopher,Warner,Los Angeles County Superior Court
Dyer,Tom,M,Yolo County Superior Court
Eagle,Kristine,A,San Joaquin County Superior Court
Earl,Laurie,M,"Court of Appeal, Third District"
East,Rochelle,C,San Francisco County Superior Court
Edber,Diego,None,Los Angeles County Superior Court
Edmon,Lee,None,"Court of Appeal, Second District"
Edwards,Drew,E,Los Angeles County Superior Court
Edwards,Randy,None,Kings County Superior Court
Egan,Elizabeth,A,Fresno County Superior Court
Egerton,Anne,H,"Court of Appeal, Second District"
Ekland,Alicia,Renee,Glenn County Superior Court
Ellis,John,B,Solano County Superior Court
Ellis,Steven,None,Los Angeles County Superior Court
Ellison,Laura,None,Los Angeles County Superior Court
Elswick,Carol,None,Los Angeles County Superior Court
Elvine-Kreis,Gregory,None,Humboldt County Superior Court
Emede,Julia,A,Santa Clara County Superior Court
Enos,Brian,None,Madera County Superior Court
Enright,Kevin,A,San Diego County Superior Court
Epley,Selena,D,San Diego County Superior Court
Epstein,Mark,H,Los Angeles County Superior Court
Erdosi,Bradley,None,Orange County Superior Court
