last_name,first_name,middle_init,agency
Cadei,Raymond,M,Sacramento County Superior Court
Cadet,Chinhayi,None,San Mateo County Superior Court
Cadet,Chinhayi,None,San Mateo County Superior Court
Caffese,Teresa,M.,San Francisco County Superior Court
Cahraman,Thomas,H,Riverside County Superior Court
Caietti,Carolyn,M,San Diego County Superior Court
Caietti,Carolyn,M,San Diego County Superior Court
Calabretta,Daniel,J.,Sacramento County Superior Court
Calabretta,Daniel,J.,Sacramento County Superior Court
Calegari,Troye,Kendall,Sonoma County Superior Court
Calegari,Troye,Kendall,Sonoma County Superior Court
Calero,Alexander,M,San Diego County Superior Court
Calvillo,Noel,A.,Sacramento County Superior Court
Camacho,Marcos,R,Kern County Superior Court
Camacho,Mike,None,Los Angeles County Superior Court
Camacho,Mike,None,Los Angeles County Superior Court
Camarena,Enrique,None,San Diego County Superior Court
Camarena,Enrique,None,San Diego County Superior Court
Camber,Michael,A.,San Bernardino County Superior Court
Cameron,Victoria,E,Riverside County Superior Court
Campagna,Anthony,J.,San Diego County Superior Court
Campagna,Anthony,J.,San Diego County Superior Court
Campbell,Andre,None,Sacramento County Superior Court
Campbell,Hallie,G.,Tuolumne County Superior Court
Campins,Julia,None,Contra Costa County Superior Court
Campins,Julia,None,Contra Costa County Superior Court
Campos,Yvonne,E,San Diego County Superior Court
Campos,Yvonne,E,San Diego County Superior Court
Candela,Michael,P,Butte County Superior Court
Canepa,Theresa,J,Contra Costa County Superior Court
Canepa,Theresa,J,Contra Costa County Superior Court
Canning,Timothy,None,Humboldt County Superior Court
Canning,Timothy,None,Humboldt County Superior Court
Cannon,Gloria,J.,Kern County Superior Court
Cannon,Gloria,J.,Kern County Superior Court
Cano,Rachel,None,San Diego County Superior Court
Cano,Rachel,None,San Diego County Superior Court
Cantil-Sakauye,Tani,G,Supreme Court of California
Caraway,Corie,J,Butte County Superior Court
Cardoza,Jane,None,Fresno County Superior Court
Cardoza,Jane,None,Fresno County Superior Court
Carrillo,Debra,D,Orange County Superior Court
Carrillo,Debra,D,Orange County Superior Court
Carrillo,Jared,Temujin,Stanislaus County Superior Court
Carringer,Christine,A,Solano County Superior Court
Carringer,Christine,A,Solano County Superior Court
Carrozzo,Michael,J,Santa Barbara County Superior Court
Carter,Amy,None,Los Angeles County Superior Court
Carter,Amy,None,Los Angeles County Superior Court
Carter,Michael,D,Los Angeles County Superior Court
Carter,Michael,D,Los Angeles County Superior Court
Carvill,Wynne,S,Alameda County Superior Court
Casserly,Timothy,M,San Diego County Superior Court
Casserly,Timothy,M,San Diego County Superior Court
Cassidy,Alan,K,Stanislaus County Superior Court
Cassidy,Michael,J,Orange County Superior Court
Castillo,Jose,Scher,San Diego County Superior Court
Castillo,Jose,Scher,San Diego County Superior Court
Castillo,Michele,M,Ventura County Superior Court
Castro,Arturo,None,Alameda County Superior Court
Cathcart,Patrick,A,Los Angeles County Superior Court
Cavalluzzi,Maria,None,Los Angeles County Superior Court
Cavalluzzi,Maria,None,Los Angeles County Superior Court
Caves,Michael,Arthur,Kern County Superior Court
Caves,Michael,Arthur,Kern County Superior Court
Cena,David,A,Santa Clara County Superior Court
Cena,David,A,Santa Clara County Superior Court
Cha,Jessica,B.,Orange County Superior Court
Chaffee,David,None,Orange County Superior Court
Chalfant,James,C,Los Angeles County Superior Court
Chan,Bruce,None,San Francisco County Superior Court
Chan,Bruce,None,San Francisco County Superior Court
Chan,Roger,C,San Francisco County Superior Court
Chaney,Victoria,G,"Court of Appeal, Second District"
Chang,Adam,None,Los Angeles County Superior Court
Chang,Renee,Yolanda,Los Angeles County Superior Court
Chang,Shelleyanne,W,Sacramento County Superior Court
Chang,Shelleyanne,W,Sacramento County Superior Court
Chang,Wendy,None,Los Angeles County Superior Court
Chang,Wendy,None,Los Angeles County Superior Court
Chapin,Sidney,P,Kern County Superior Court
Chapman,David,M,Riverside County Superior Court
Chapman,David,M,Riverside County Superior Court
Charlick,Shereen,None,San Diego County Superior Court
Charlick,Shereen,None,San Diego County Superior Court
Chastain,Shauna,L,Solano County Superior Court
Chastain,Shauna,L,Solano County Superior Court
Chatman,Sharon,None,Santa Clara County Superior Court
Chatterjee,Somnath Raj,None,Alameda County Superior Court
Chau,Edwin,P,Los Angeles County Superior Court
Chavez,Victor,E,Los Angeles County Superior Court
Chavez,Victor,E,Los Angeles County Superior Court
Chavez,Victoria,M,"Court of Appeal, Second District"
Cheng,Andrew Y.S.,None,San Francisco County Superior Court
Chernus,Roy,O,Marin County Superior Court
Cheroske,John,J,Los Angeles County Superior Court
Cheroske,John,J,Los Angeles County Superior Court
Cheroske,John,J,Los Angeles County Superior Court
Chew,Hanley,None,Santa Clara County Superior Court
Chiarello,Vincent,J,Santa Clara County Superior Court
Chilton,Katherine,None,Los Angeles County Superior Court
Chin,Jason,B,Alameda County Superior Court
Chin,Ming,W,Supreme Court of California
Chittick,Hilary,A,Fresno County Superior Court
Cho,Lawrence,H,Los Angeles County Superior Court
Cho,Lawrence,H,Los Angeles County Superior Court
Cho,Sharon,K.,San Mateo County Superior Court
Cho,Sharon,K.,San Mateo County Superior Court
Cho,Susanne,S,Riverside County Superior Court
Cho,Susanne,S,Riverside County Superior Court
Cho,Tony,Joon Suk,Los Angeles County Superior Court
Cho,Tony,None,Los Angeles County Superior Court
Chou,Danny,Y.,San Mateo County Superior Court
Chou,Danny,Y.,"Court of Appeal, First District"
Chou,Danny,Y.,San Mateo County Superior Court
Chou,James,T,Marin County Superior Court
Chouteau,Rene,A,Sonoma County Superior Court
Chowdhury,Ashfaq,G,Los Angeles County Superior Court
Chowdhury,Ashfaq,G,Los Angeles County Superior Court
Chrissakis,Valerie,R,Kings County Superior Court
Chrissakis,Valerie,R,Kings County Superior Court
Christian,Deborah,None,Los Angeles County Superior Court
Christian,Sarah,A,Riverside County Superior Court
Christianson,Ronald,M,San Bernardino County Superior Court
Chrostek,Joan,M,Los Angeles County Superior Court
Chrostek,Joan,M,Los Angeles County Superior Court
Chu,Robert,G.,Los Angeles County Superior Court
Chu,Robert,G.,Los Angeles County Superior Court
Chun,A. Marisa,None,San Francisco County Superior Court
Chun,A. Marisa,None,San Francisco County Superior Court
Chung,Charles,A,Los Angeles County Superior Court
Chung,Charles,A,Los Angeles County Superior Court
Chung,Frederick,S,Santa Clara County Superior Court
Chung,Frederick,S,Santa Clara County Superior Court
